name,country,visibility,difficulty,mentions,volume,volume_trend,intents
Lava-louças Brastemp,br,97,39,151,51660,36;37;42;70;76;76;76;100;83;83;83;83,task:2;informational:56;navigational:11;commercial:18;transactional:13
Geladeiras Brastemp com gelo,br,97,83,20,3933,36;40;29;39;88;89;89;40;80;79;94;100,task:2;informational:62;navigational:2;commercial:28;transactional:6
Micro-ondas Brastemp 40L Embutir,br,97,81,21,2699,86;100;100;58;62;65;65;70;73;74;74;71,task:2;informational:52;navigational:15;commercial:15;transactional:16
fornos Brastemp Ative - manuais,br,97,89,21,1902,22;29;40;76;87;88;88;100;75;79;78;78,task:5;informational:70;navigational:5;commercial:13;transactional:7
Geladeiras Brastemp 500 litros Frost Free,br,97,82,17,1510,42;96;97;82;49;52;51;95;73;100;83;95,task:3;informational:52;navigational:4;commercial:29;transactional:12
Borrachas de Geladeira Brastemp,br,97,83,19,1428,51;59;59;38;35;38;37;77;77;100;78;77,task:2;informational:48;navigational:14;commercial:22;transactional:14
Freezers Brastemp 228 litros,br,97,82,15,999,6;13;14;12;13;26;16;60;53;100;89;89,task:3;informational:53;navigational:12;commercial:25;transactional:7
Brastemp Micro-ondas,br,96,49,90,22880,61;63;71;77;100;100;100;94;95;95;95;95,task:4;informational:35;navigational:21;commercial:22;transactional:18
Termostatos Brastemp para Geladeira,br,96,69,20,1984,29;33;48;98;98;100;100;60;73;73;73;73,task:2;informational:58;navigational:9;commercial:20;transactional:11
Prateleiras Brastemp,br,96,76,16,588,69;100;100;93;86;84;84;83;87;88;83;84,task:3;informational:31;navigational:38;commercial:15;transactional:13
Brastemp: Geladeiras e Eletrodomésticos,br,96,71,17,568,61;96;100;62;67;43;42;98;76;80;43;43,task:5;informational:24;navigational:27;commercial:36;transactional:8
Fogões Brastemp com forno,br,96,77,16,321,65;79;85;100;100;100;98;44;44;64;54;63,task:2;informational:63;navigational:5;commercial:15;transactional:15
Cooktops Brastemp de Indução 4 Bocas,br,95,61,46,10184,93;97;100;47;44;45;45;44;45;45;45;45,task:2;informational:60;navigational:10;commercial:15;transactional:13
Peças e mecanismos Brastemp Lavadora,br,95,72,23,1892,30;39;40;74;99;100;100;77;72;71;71;71,informational:59;navigational:10;commercial:9;transactional:22
Geladeiras Brastemp 573 litros,br,95,76,18,1615,35;39;41;38;55;58;60;82;34;40;70;100,task:2;informational:52;navigational:15;commercial:19;transactional:12
Cooktops e Fornos a Gás Brastemp,br,95,84,18,946,47;55;54;41;57;58;58;100;62;62;63;63,task:3;informational:58;navigational:10;commercial:19;transactional:10
lava-louças gourmand Brastemp,br,95,85,15,382,6;16;18;46;40;38;9;100;54;33;28;32,task:3;informational:41;navigational:31;commercial:16;transactional:9
Brastemp Retrô: Frigobar e Geladeira,br,94,61,46,20987,100;97;42;46;48;48;48;44;44;44;44;44,task:2;informational:41;navigational:26;commercial:17;transactional:14
Motores e Ventilação Brastemp de Geladeira,br,94,67,34,7849,17;22;25;48;95;96;96;99;100;100;100;100,task:2;informational:60;navigational:9;commercial:19;transactional:10
Adegas Brastemp Climatizadas,br,94,66,32,5988,90;97;100;46;44;45;45;47;51;51;50;50,task:2;informational:40;navigational:33;commercial:16;transactional:9
Brastemp: Garantias e Assistência Técnica,br,94,72,25,3222,35;42;72;100;87;90;89;96;92;92;94;94,informational:52;navigational:34;commercial:10;transactional:4
Brastemp 15kg lava e seca,br,94,84,17,2314,39;50;54;50;45;46;54;91;61;69;90;100,task:5;informational:27;navigational:19;commercial:37;transactional:12
Placas de Geladeira Brastemp,br,94,60,22,1706,62;33;34;96;59;61;61;100;86;86;85;85,task:5;informational:57;navigational:7;commercial:16;transactional:15
Brastemp Geladeiras,br,94,81,15,653,29;41;42;40;40;43;43;100;79;39;38;38,task:7;informational:52;navigational:18;commercial:12;transactional:11
Brastemp micro-ondas: problemas comuns,br,94,88,17,647,68;75;76;83;83;82;82;82;96;96;100;100,task:5;informational:67;navigational:10;commercial:10;transactional:8
Fogões Brastemp Unique 4 Bocas,br,94,85,15,324,9;15;16;12;26;12;12;41;53;100;54;22,task:4;informational:40;navigational:17;commercial:31;transactional:8
Lavadoras Brastemp 11kg,br,93,42,46,19228,52;54;59;60;58;58;58;93;98;100;99;100,task:2;informational:50;navigational:15;commercial:25;transactional:8
Brastemp Gourmand Fogões,br,93,73,22,4836,85;98;100;96;95;98;99;82;72;72;74;74,informational:44;navigational:20;commercial:22;transactional:14
Geladeiras Brastemp 479 litros,br,93,70,22,2024,43;62;62;62;58;59;59;65;72;82;95;100,task:3;informational:55;navigational:8;commercial:24;transactional:10
Cooktops e Fogões Brastemp 2 a 5 Bocas,br,93,68,19,850,82;96;96;93;100;92;91;89;57;61;65;79,task:2;informational:39;navigational:5;commercial:40;transactional:14
Geladeiras Brastemp Antigas,br,93,77,15,822,66;87;89;85;84;90;91;94;97;97;100;99,task:3;informational:64;navigational:4;commercial:23;transactional:6
Frigobar Brastemp Marsala,br,93,80,15,469,8;21;23;41;50;57;36;92;100;91;53;54,task:3;informational:51;navigational:18;commercial:16;transactional:12
Brastemp BWK12 Lavadoras,br,92,67,17,1095,44;49;50;47;50;51;49;100;72;72;70;71,task:4;informational:44;navigational:25;commercial:21;transactional:6
Geladeiras Brastemp Bre59,br,92,61,15,309,14;21;23;21;51;59;23;30;74;100;26;27,task:3;informational:39;navigational:26;commercial:15;transactional:17
Brastemp BRM56,br,92,81,15,289,15;30;33;56;54;44;21;28;24;100;84;40,task:7;informational:28;navigational:13;commercial:44;transactional:8
Tampas de Fogão Brastemp,br,92,73,16,214,32;94;100;85;71;65;49;57;58;56;48;49,task:4;informational:43;navigational:18;commercial:17;transactional:18
Lavadoras Brastemp 8kg,br,91,71,21,4337,57;74;75;76;78;81;82;82;85;83;84;100,task:5;informational:58;navigational:7;commercial:23;transactional:7
Geladeiras Brastemp 462 L,br,91,68,19,4201,92;98;100;42;40;41;41;36;38;48;44;48,task:3;informational:59;navigational:5;commercial:20;transactional:13
Lavadoras Brastemp Double Wash,br,91,55,20,1695,63;84;86;46;59;60;52;40;79;100;82;98,task:2;informational:46;navigational:14;commercial:29;transactional:9
Geladeiras Brastemp BRM35B,br,91,51,20,531,37;60;78;55;80;81;80;72;94;100;94;95,informational:69;navigational:23;commercial:7;transactional:1
Logotipos e branding da Brastemp,br,91,63,17,493,60;82;84;83;89;98;90;88;100;98;76;76,task:1;informational:71;navigational:17;commercial:6;transactional:5
Válvulas Brastemp para Máquinas de Lavar,br,91,67,18,296,53;75;78;68;88;100;68;69;67;74;73;72,task:7;informational:51;navigational:3;commercial:20;transactional:19
Geladeiras Brastemp 588 litros,br,90,55,29,8956,93;100;60;62;55;56;57;72;74;73;73;72,task:8;informational:58;navigational:3;commercial:16;transactional:15
Geladeiras Brastemp BRM44 375L,br,90,40,37,7903,86;97;100;99;76;77;77;97;100;100;99;99,task:1;informational:44;navigational:27;commercial:20;transactional:8
Refrigeradores Brastemp 461L,br,90,57,22,2717,64;80;80;48;52;53;49;68;52;64;91;100,task:2;informational:49;navigational:7;commercial:31;transactional:11
Brastemp Lava-Louças 12 Serviços,br,90,77,21,2324,73;98;100;54;53;47;48;45;77;86;84;91,task:2;informational:48;navigational:15;commercial:12;transactional:23
Lavadoras Brastemp com Água Quente,br,90,71,16,673,12;17;19;15;35;34;46;100;54;60;49;47,task:5;informational:70;navigational:2;commercial:15;transactional:8
Peças Brastemp — secadoras e lavadoras,br,90,62,18,187,69;91;95;100;92;95;96;98;90;91;86;86,task:3;informational:34;navigational:35;commercial:13;transactional:15
Fogões Brastemp 4 Bocas,br,89,53,104,38059,80;81;88;94;100;100;100;100;99;99;99;99,task:5;informational:35;navigational:15;commercial:26;transactional:19
Fogões Brastemp 6 Bocas,br,89,41,33,5093,91;98;100;49;46;47;47;46;46;46;45;44,task:2;informational:32;navigational:25;commercial:32;transactional:9
Geladeiras Brastemp 443 L,br,89,43,24,4604,81;95;95;92;93;95;96;77;83;100;93;100,task:2;informational:59;navigational:15;commercial:18;transactional:6
Lavadoras Brastemp 13kg,br,89,64,24,4031,83;97;100;52;52;53;53;57;56;59;57;57,task:10;informational:45;navigational:5;commercial:23;transactional:17
Brastemp vs Electrolux: Eletrodomésticos,br,89,89,21,1837,37;41;67;81;94;96;95;97;96;96;96;100,informational:52;navigational:4;commercial:39;transactional:5
Geladeiras Brastemp com porta aberta e alarme,br,89,86,13,334,77;82;84;89;89;87;87;100;90;88;82;93,task:3;informational:76;navigational:5;commercial:10;transactional:6
Frigobar Brastemp Retrô Dourado,br,89,89,12,190,8;24;24;100;29;17;12;77;67;38;26;26,task:3;informational:28;navigational:26;commercial:23;transactional:20
Brastemp geladeiras que não gelam,br,88,34,34,5955,88;91;91;95;98;99;99;91;99;99;100;100,task:5;informational:78;navigational:4;commercial:3;transactional:10
Geladeiras Brastemp Side by Side,br,88,84,20,4133,88;98;100;48;42;42;42;43;44;44;44;44,informational:55;navigational:4;commercial:29;transactional:12
Fogões Brastemp 4 Bocas com Grill,br,88,61,22,2233,84;100;100;58;79;81;83;69;72;76;63;63,task:5;informational:50;navigational:15;commercial:19;transactional:11
Brastemp Eclipse,br,88,76,15,1620,8;18;20;18;18;19;33;95;57;37;80;100,task:5;informational:67;navigational:11;commercial:12;transactional:5
Geladeiras Brastemp no Amazon,br,88,83,16,350,27;37;38;100;100;90;87;53;49;49;47;47,informational:44;navigational:41;commercial:5;transactional:10
Lavadoras Brastemp 12kg BWT12,br,88,69,15,187,8;92;100;77;77;56;60;60;39;61;47;71,task:5;informational:46;navigational:18;commercial:26;transactional:5
Fogões Brastemp 5 Bocas com Timer Digital,br,88,71,14,140,18;58;74;50;90;68;50;55;42;100;73;81,task:3;informational:56;navigational:5;commercial:18;transactional:18
Purificadores Brastemp,br,87,46,65,20562,98;100;46;50;60;60;60;55;57;57;57;57,task:5;informational:39;navigational:16;commercial:25;transactional:15
Geladeiras Brastemp Inox 375L,br,87,63,19,1248,62;84;87;79;47;53;56;70;66;100;93;79,task:2;informational:57;navigational:6;commercial:22;transactional:13
Lava-louças Brastemp 8 serviços,br,87,50,20,984,37;59;65;61;59;57;58;54;100;77;57;56,task:3;informational:53;navigational:12;commercial:20;transactional:12
Coifa Brastemp Gourmand Ilha,br,87,64,15,544,28;47;86;74;74;67;48;77;67;100;64;77,task:3;informational:25;navigational:38;commercial:12;transactional:22
Refrigeradores Brastemp BRM47B,br,87,58,19,524,34;40;49;40;48;48;47;66;80;100;93;89,informational:66;navigational:15;commercial:12;transactional:7
Geladeira Brastemp BRM55BK,br,87,71,15,195,7;20;36;88;88;48;38;100;67;25;18;25,task:1;informational:32;navigational:42;commercial:11;transactional:14
Brastemp: Assistência Técnica e Loja,br,86,60,93,67554,85;89;95;100;99;99;99;100;100;100;100;100,task:3;informational:27;navigational:47;commercial:14;transactional:9
fogões Brastemp 5 bocas embutidos,br,86,74,17,2012,31;46;47;44;39;41;44;54;49;100;97;97,task:3;informational:52;navigational:8;commercial:25;transactional:12
Tampa de máquina de lavar Brastemp,br,86,59,21,1597,66;94;95;86;87;93;94;99;100;100;97;96,task:3;informational:51;navigational:12;commercial:15;transactional:19
Refrigeradores Brastemp BRM48 403 litros,br,86,51,24,875,14;33;41;32;32;23;33;100;46;55;37;52,task:8;informational:51;navigational:4;commercial:31;transactional:6
Geladeiras Brastemp 490L,br,86,71,17,832,8;36;58;44;41;30;46;100;50;62;53;68,task:3;informational:45;navigational:11;commercial:31;transactional:10
Tampas de Geladeira Brastemp,br,86,68,15,160,39;49;63;48;49;52;48;78;66;100;77;81,task:10;informational:27;navigational:25;commercial:17;transactional:21
Placas de Lavadoras Brastemp,br,85,43,44,10997,58;28;32;37;58;59;59;100;77;77;77;77,task:5;informational:57;navigational:4;commercial:23;transactional:11
Geladeiras e Freezers Brastemp 400L,br,85,57,43,8915,97;100;48;49;49;50;51;50;52;53;52;52,task:2;informational:38;navigational:14;commercial:28;transactional:18
Filtros e purificadores Brastemp,br,85,51,29,4993,85;97;100;62;56;56;56;55;62;63;62;62,task:2;informational:43;navigational:16;commercial:20;transactional:19
Fogões Brastemp 5 Bocas Brancos,br,85,68,15,1850,67;76;76;44;43;43;38;83;66;100;92;88,task:5;informational:11;navigational:26;commercial:23;transactional:35
Cooktops Brastemp 5 bocas com timer digital,br,85,46,20,769,62;100;77;53;51;69;55;90;93;90;66;68,task:3;informational:55;navigational:4;commercial:32;transactional:6
Brastemp Cooktop 5 Bocas,br,84,48,79,37317,48;48;59;66;100;100;100;97;96;96;96;96,task:2;informational:49;navigational:20;commercial:18;transactional:11
Micro-ondas Brastemp 20L,br,84,64,21,2838,83;98;100;87;78;81;83;75;73;75;76;72,task:5;informational:42;navigational:16;commercial:21;transactional:16
Ar-condicionado Brastemp,br,84,71,18,1893,50;59;59;34;32;36;42;38;60;71;78;100,task:5;informational:52;navigational:10;commercial:22;transactional:11
Geladeiras Brastemp BRM45,br,84,67,18,1696,10;23;26;22;22;27;23;100;20;23;68;72,task:7;informational:51;navigational:12;commercial:14;transactional:16
Geladeiras Brastemp BRM55,br,84,62,15,1568,6;15;18;32;23;42;38;96;92;77;63;100,task:3;informational:49;navigational:18;commercial:19;transactional:11
Freezers e Geladeiras Brastemp/Electrolux,br,84,78,19,1385,87;100;100;65;63;64;64;81;70;70;70;71,task:2;informational:50;navigational:9;commercial:30;transactional:9
Botões de Fogão Brastemp,br,84,48,23,927,79;93;93;51;61;65;65;100;85;92;53;53,task:3;informational:46;navigational:27;commercial:12;transactional:12
Geladeiras Brastemp 463L Frost Free,br,83,66,17,1809,18;41;45;33;33;32;37;90;72;100;93;83,task:7;informational:65;navigational:1;commercial:19;transactional:8
Lavadoras 17kg Brastemp & Electrolux,br,82,79,31,6552,95;98;100;45;39;40;40;39;40;39;39;39,task:2;informational:54;navigational:2;commercial:32;transactional:10
Gavetas de Geladeira Brastemp,br,82,54,19,1361,87;99;100;49;47;52;52;50;50;51;52;51,task:5;informational:42;navigational:4;commercial:37;transactional:12
Peças de micro-ondas Brastemp,br,82,43,18,724,69;77;78;67;66;67;66;100;69;67;66;70,task:3;informational:64;navigational:7;commercial:16;transactional:10
Geladeiras Brastemp 560 L,br,82,53,15,579,2;14;21;34;32;24;30;100;84;33;28;32,task:5;informational:52;navigational:11;commercial:12;transactional:20
Placas de Interface Brastemp Ative 11kg,br,82,50,15,240,79;89;94;82;80;82;89;86;80;100;95;95,task:7;informational:49;navigational:2;commercial:31;transactional:11
Brastemp Indução: Cooktop 1 Boca,br,81,42,19,850,12;40;50;22;21;41;45;60;47;100;89;96,task:3;informational:43;navigational:26;commercial:15;transactional:13
Brastemp Cupons e Descontos,br,80,51,30,13208,41;48;26;35;32;34;35;100;99;99;100;100,task:3;informational:38;navigational:6;commercial:16;transactional:37
Geladeiras Brastemp Gourmand,br,80,59,15,1964,35;53;60;51;63;56;56;100;77;86;96;99,task:1;informational:55;navigational:15;commercial:20;transactional:9
Geladeiras de 463 litros (Midea/Brastemp),br,80,80,14,1878,53;79;75;65;62;63;63;100;77;88;85;80,task:3;informational:29;navigational:5;commercial:32;transactional:31
Geladeiras Brastemp Inverse 3,br,80,41,19,1693,30;47;51;31;84;100;90;50;46;58;33;69,task:4;informational:49;navigational:25;commercial:12;transactional:10
Geladeiras Brastemp no Mercado Livre,br,80,82,15,424,41;59;61;70;68;70;68;100;83;60;55;56,task:3;informational:26;navigational:43;commercial:8;transactional:20
Lavadoras 16kg Brastemp e Electrolux,br,79,78,24,4187,89;100;58;57;55;55;56;58;53;88;65;53,task:5;informational:53;navigational:2;commercial:27;transactional:13
Geladeiras Brastemp Brm50 e 429 litros,br,79,42,27,2798,83;100;55;72;97;100;100;62;68;72;86;87,task:2;informational:45;navigational:25;commercial:21;transactional:7
Peças de Fogão Brastemp,br,79,42,21,2386,64;73;48;79;74;76;77;100;98;98;98;98,task:5;informational:31;navigational:12;commercial:32;transactional:20
Peças Brastemp: Geladeira e Lavadora,br,79,38,24,1723,87;100;100;52;66;68;68;84;71;71;71;71,task:3;informational:40;navigational:26;commercial:22;transactional:9
Frigobares Brastemp com Porta de Vidro,br,79,42,16,1283,38;58;68;60;69;69;58;94;79;89;96;100,task:3;informational:55;navigational:5;commercial:26;transactional:11
Bombas de água para máquinas Brastemp/Consul,br,79,58,19,1062,43;51;50;42;42;44;44;100;81;79;79;78,task:2;informational:58;navigational:3;commercial:16;transactional:21
lava-louças Brastemp 8 serviços preta,br,79,66,16,727,9;43;53;51;51;35;39;80;69;100;89;94,task:7;informational:32;navigational:31;commercial:21;transactional:9
Micro-ondas Brastemp Ative 30L,br,78,44,16,2486,84;100;56;53;48;51;51;49;80;93;69;70,task:2;informational:42;navigational:14;commercial:27;transactional:15
Lavadoras Brastemp 17kg,br,78,52,14,589,35;48;55;49;46;44;53;100;63;72;29;35,task:2;informational:52;navigational:7;commercial:27;transactional:12
Placas Brastemp 12kg,br,78,39,19,382,33;47;44;41;39;42;42;100;93;76;71;47,task:3;informational:49;navigational:18;commercial:23;transactional:7
Peças e reparos para máquina de lavar Brastemp,br,77,57,20,1536,38;40;41;27;89;89;90;100;87;87;87;87,task:3;informational:54;navigational:5;commercial:19;transactional:19
Brastemp lava-louças BLF62AR,br,77,50,18,1279,8;48;55;43;70;55;53;75;62;81;76;100,task:3;informational:48;navigational:31;commercial:14;transactional:4
Geladeiras Amarelas Retrô Brastemp,br,77,53,17,600,49;87;100;84;65;69;68;74;62;64;74;80,task:7;informational:37;navigational:17;commercial:31;transactional:8
Controles de Ar Condicionado Brastemp,br,77,50,19,405,30;69;89;64;61;51;65;79;75;100;90;96,task:2;informational:59;navigational:7;commercial:26;transactional:6
Frigobar Brastemp Rosa e Dourado,br,77,51,14,350,22;100;90;84;83;27;26;94;25;27;25;25,task:3;informational:41;navigational:18;commercial:27;transactional:11
Brastemp BFS5XAR - Eletrodomésticos,br,77,48,15,271,5;24;36;29;27;16;36;100;54;39;32;33,task:1;informational:32;navigational:39;commercial:22;transactional:6
Brastemp e Consul: Eletrodomésticos Top,br,76,72,21,4252,34;46;46;45;74;76;77;97;99;98;100;100,task:5;informational:55;navigational:18;commercial:14;transactional:8
Geladeiras Brastemp BRM54,br,76,51,15,715,15;48;49;49;48;47;53;47;31;28;26;100,task:2;informational:45;navigational:22;commercial:14;transactional:17
Brastemp fogões BFS5NCR,br,75,51,14,1157,24;65;74;40;44;39;45;70;38;100;81;81,task:2;informational:19;navigational:31;commercial:44;transactional:4
peças para geladeira Brastemp,br,75,44,17,277,71;97;100;87;87;89;89;86;86;90;82;85,task:7;informational:32;navigational:8;commercial:23;transactional:30
Geladeiras Brastemp Inverse 447L,br,74,42,17,1275,46;70;71;68;60;66;67;86;80;100;76;78,task:1;informational:28;navigational:33;commercial:23;transactional:15
Filtros Brastemp Side by Side,br,74,29,18,226,45;89;100;95;82;65;62;66;66;68;70;70,task:3;informational:56;navigational:12;commercial:12;transactional:17
Compressores de Geladeira Brastemp,br,72,31,16,259,60;77;82;91;98;100;98;75;74;80;76;76,task:2;informational:83;navigational:5;commercial:8;transactional:2
Agitadores de máquina de lavar Brastemp,br,71,36,21,4432,58;68;37;43;89;91;91;100;95;95;98;96,informational:58;navigational:5;commercial:19;transactional:18
Geladeiras Brastemp 540 litros,br,71,50,16,1663,14;20;22;18;40;41;35;98;85;100;70;82,task:5;informational:47;navigational:11;commercial:19;transactional:18
Capas para Máquina de Lavar Brastemp,br,71,59,17,747,46;77;86;66;56;58;58;60;94;100;93;94,task:7;informational:28;navigational:2;commercial:21;transactional:42
Guia de reset de lavadoras e lava-louças,br,70,78,12,1693,30;54;44;74;81;80;80;98;88;94;96;100,task:18;informational:58;navigational:2;commercial:10;transactional:12
Assistência técnica Brastemp e Consul,br,70,79,15,1003,99;100;84;69;66;69;69;81;95;96;97;97,task:2;informational:62;navigational:23;commercial:7;transactional:6
Agitadores de Lavadora Brastemp/Consul,br,70,63,13,356,50;64;68;63;63;69;100;63;63;100;93;96,task:2;informational:64;navigational:5;commercial:11;transactional:18
Micro-ondas 32 L,br,69,63,33,10048,47;55;69;86;99;100;100;84;92;92;92;91,task:5;informational:37;navigational:14;commercial:30;transactional:14
Geladeiras que congelam na parte de baixo,br,69,86,12,1288,73;94;94;83;73;72;71;77;70;74;92;100,task:8;informational:64;navigational:2;commercial:15;transactional:11
Geladeiras com Ice Maker,br,68,84,11,1152,27;20;21;40;39;26;24;92;60;82;71;100,task:3;informational:63;navigational:2;commercial:22;transactional:10
Cilindro de gás B Blend Brastemp,br,68,48,12,121,60;87;100;80;77;77;74;58;59;85;74;74,task:7;informational:28;navigational:38;commercial:8;transactional:19
Mangueiras de máquina de lavar Brastemp/Consul,br,67,56,18,1190,62;72;42;46;99;100;100;42;53;54;55;54,task:2;informational:54;navigational:5;commercial:15;transactional:24
Geladeiras Brastemp e Philco no Reclame Aqui,br,67,72,16,1100,83;93;95;94;95;97;100;80;90;90;92;93,task:3;informational:46;navigational:41;commercial:6;transactional:4
Lava-louças 6 serviços,br,66,62,19,2633,85;100;57;53;46;49;50;51;52;52;52;51,task:4;informational:53;navigational:4;commercial:28;transactional:11
Suportes e bases para lava-louças,br,66,69,12,1967,61;89;90;87;83;89;90;90;93;100;91;90,task:10;informational:43;navigational:5;commercial:34;transactional:8
Mecanismos de Lavadoras Consul e Brastemp,br,66,76,12,802,56;63;52;76;87;88;88;95;96;100;97;96,task:3;informational:64;navigational:2;commercial:15;transactional:16
Churrasqueiras Brastemp,br,66,57,14,57,15;72;100;60;63;65;46;20;91;50;47;41,task:7;informational:53;navigational:18;commercial:12;transactional:10
Melhores Lava-Louças,br,65,75,24,7659,29;38;42;65;93;86;85;96;100;100;100;100,informational:42;commercial:56;transactional:2
Problemas de Lavadoras com Nível de Água,br,65,87,9,440,100;89;82;78;76;84;89;66;84;83;83;83,task:8;informational:63;navigational:5;commercial:10;transactional:14
Fogões com Air Fryer,br,64,76,14,5131,80;85;52;68;89;91;91;86;99;100;95;95,task:2;informational:63;navigational:5;commercial:22;transactional:8
Refrigeradores com French Door,br,64,58,15,4001,49;70;74;76;75;79;80;66;100;100;100;100,task:2;informational:55;navigational:2;commercial:28;transactional:13
Lava-Louças 14 Serviços,br,63,76,22,8435,85;91;44;45;71;72;72;100;62;62;62;61,task:2;informational:54;navigational:4;commercial:28;transactional:12
lavadoras 17kg Consul/Brastemp,br,62,74,12,1276,61;99;100;56;35;36;36;53;57;58;57;57,task:10;informational:46;navigational:4;commercial:30;transactional:10
Lava-louças: guias e marcas,br,61,87,241,204827,37;38;53;71;100;100;100;84;69;69;69;69,task:2;informational:59;navigational:4;commercial:27;transactional:8
Pressostatos de Lavadoras Brastemp e Similar,br,61,48,14,685,56;78;79;71;84;84;82;90;92;93;93;100,task:3;informational:60;navigational:5;commercial:15;transactional:17
Placas de Geladeira,br,60,62,17,8245,37;43;43;27;75;77;77;97;100;100;100;100,task:5;informational:52;navigational:5;commercial:22;transactional:16
Lava-louças 8 serviços 220V,br,60,85,9,721,49;72;70;66;66;62;61;97;94;100;81;91,task:3;informational:41;navigational:4;commercial:39;transactional:13
