fonte_arquivo,marca_seed,keyword,idioma,familia,categoria,volume_medio_12m,volume_corrente_est,kd,cpc_usd,densidade_competitiva,intent,tem_ai_overview,serp_features,click_potential,trend,n_fontes,fontes
2026-08-17_semrush_keywords_genericas-categoria.xlsx,generico,fogão 5 bocas,pt,nao classificado,coccao,201000,129740.8,43.0,0.11,1.0,Commercial,0,"Image Pack, Site Links, Video, People Also Ask, Popular Products, Related Searches",20.0,"[0.81, 0.66, 0.81, 0.66, 0.66, 0.81, 0.81, 0.66, 0.66, 0.66, 0.54, 0.44]",1,generico
2026-08-17_semrush_keywords_genericas-categoria.xlsx,generico,lava e seca,pt,especificacao produto,lavanderia,201000,187948.1,48.0,0.2,1.0,Commercial,1,"Site Links, Video, Video Carousel, People Also Ask, Popular Products, Related Searches, AI Overview",20.0,"[0.36, 0.44, 0.44, 0.36, 0.3, 0.36, 0.54, 0.3, 0.36, 0.36, 0.44, 0.36]",1,generico
2026-08-17_semrush_keywords_genericas-categoria.xlsx,generico,ventilador de teto,pt,nao classificado,sem categoria,201000,178116.9,36.0,0.09,1.0,Commercial,0,"Video, Video Carousel, People Also Ask, Popular Products, Related Searches, Image Pack, Site Links",20.0,"[0.13, 0.1, 0.1, 0.16, 0.24, 0.29, 0.36, 0.66, 0.44, 0.29, 0.24, 0.24]",1,generico
2026-08-17_semrush_keywords_brastemp.csv,brastemp,brastemp,pt,marca e navegacao,sem categoria,201000,213871.9,58.0,4.86,1.0,Navigational,0,"Knowledge Panel, Site Links, Reviews, Adwords Bottom, People Also Ask, Popular Products, Related Searches",20.0,"[0.3, 0.3, 0.24, 0.44, 0.3, 0.36, 0.44, 0.36, 0.36, 0.3, 0.3, 0.36]",1,brastemp
2026-08-17_semrush_keywords_brastemp.csv,brastemp,geladeira brastemp,pt,nao classificado,geladeira,201000,218670.3,48.0,0.29,1.0,"Informational, Transactional",0,"Site Links, Reviews, People Also Ask, Popular Products, Related Searches, Image Pack",20.0,"[0.54, 0.54, 0.54, 0.54, 0.54, 0.66, 0.81, 0.66, 0.81, 0.54, 0.44, 0.66]",1,brastemp
2026-08-17_semrush_keywords_genericas-categoria.xlsx,generico,airfryer,pt,nao classificado,coccao,135000,105652.2,54.0,0.14,1.0,"Informational, Commercial",1,"People Also Ask, Popular Products, Related Searches, Short Videos, AI Overview, Site Links, Video, Video Carousel",20.0,"[0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.66, 0.44, 0.44, 0.54, 0.44, 0.36]",1,generico
2026-08-17_semrush_keywords_genericas-categoria.xlsx,generico,fogão,pt,nao classificado,coccao,135000,123038.0,50.0,0.09,1.0,Commercial,0,"Image Pack, Site Links, Video, Video Carousel, People Also Ask, Popular Products, Related Searches",20.0,"[0.36, 0.44, 0.44, 0.36, 0.3, 0.3, 0.66, 0.36, 0.36, 0.44, 0.36, 0.36]",1,generico
2026-08-17_semrush_keywords_electrolux-branded.xlsx,electrolux,eletrolux,pt,marca e navegacao,sem categoria,110000,122685.0,72.0,0.25,1.0,Navigational,0,"Knowledge Panel, Local Pack, Site Links, People Also Ask, Related Searches",20.0,"[0.44, 0.44, 0.44, 0.54, 0.54, 0.44, 0.67, 0.44, 0.44, 0.44, 0.44, 0.54]",1,electrolux
2026-08-17_semrush_keywords_genericas-categoria.xlsx,generico,adega,pt,nao classificado,adega,110000,90411.0,26.0,0.23,0.89,Commercial,1,"Local Pack, Image Pack, Site Links, Reviews, People Also Ask, Popular Products, Related Searches, Video, AI Overview",20.0,"[0.54, 0.54, 0.45, 0.54, 0.54, 0.45, 0.67, 0.82, 0.67, 0.45, 0.45, 0.45]",1,generico
2026-08-17_semrush_keywords_genericas-categoria.xlsx,generico,cervejeira,pt,nao classificado,sem categoria,110000,109792.1,36.0,0.15,1.0,Commercial,0,"Popular Products, Related Searches, Image Pack, Site Links, Video, People Also Ask",20.0,"[0.44, 0.36, 0.36, 0.44, 0.44, 0.44, 0.67, 0.54, 0.44, 0.36, 0.36, 0.44]",1,generico
2026-08-17_semrush_keywords_genericas-categoria.xlsx,generico,freezer,pt,nao classificado,freezer,110000,104210.5,38.0,0.0,0.74,"Informational, Commercial",1,"Popular Products, Related Searches, AI Overview, Image Pack, Site Links, Video, People Also Ask",20.0,"[0.54, 0.45, 0.54, 0.54, 0.45, 0.54, 0.67, 0.67, 0.54, 0.36, 1.0, 0.54]",1,generico
2026-08-17_semrush_keywords_consul.csv,consul,consul,pt,marca e navegacao,sem categoria,110000,122531.6,57.0,1.58,1.0,Navigational,1,"Related Searches, AI Overview, Knowledge Panel, Site Links, Reviews, Video Carousel, People Also Ask",20.0,"[0.3, 0.3, 0.36, 0.44, 0.44, 0.36, 0.54, 0.54, 0.36, 0.3, 0.36, 0.44]",1,consul
2026-08-17_semrush_keywords_consul.csv,consul,geladeira consul,pt,nao classificado,geladeira,110000,105600.0,31.0,0.21,1.0,Commercial,0,"Site Links, Video Carousel, People Also Ask, Popular Products, Related Searches, Image Pack",20.0,"[0.66, 0.66, 0.66, 0.66, 0.66, 0.66, 0.81, 0.81, 0.81, 0.66, 0.54, 0.66]",1,consul
2026-08-17_semrush_keywords_midea.csv,midea,midea,pt,marca e navegacao,sem categoria,110000,93543.3,68.0,0.58,1.0,Navigational,0,"Knowledge Panel, Site Links, Adwords Top, Adwords Bottom, Video Carousel, People Also Ask, Related Searches",20.0,"[0.66, 0.66, 0.54, 0.66, 0.54, 0.54, 0.81, 0.66, 0.81, 0.54, 0.66, 0.54]",1,midea
2026-08-17_semrush_keywords_electrolux-branded.xlsx,electrolux,geladeira electrolux frost free,pt,especificacao produto,geladeira,90500,82249.6,37.0,0.19,1.0,Commercial,0,"Short Videos, Image Pack, Reviews, Related Searches, Site Links, Video, Video Carousel, People Also Ask, Popular Products",20.0,"[0.67, 0.67, 0.67, 0.54, 0.54, 0.54, 0.67, 0.54, 0.67, 0.54, 0.54, 0.54]",1,electrolux
2026-08-17_semrush_keywords_genericas-categoria.xlsx,generico,batedeira,pt,nao classificado,sem categoria,90500,78296.4,36.0,0.08,1.0,Commercial,1,"Related Searches, Short Videos, AI Overview, Image Pack, Site Links, Video, People Also Ask, Popular Products",20.0,"[0.81, 0.54, 0.67, 0.67, 0.67, 0.67, 0.81, 0.67, 0.54, 0.36, 0.54, 0.54]",1,generico
2026-08-17_semrush_keywords_genericas-categoria.xlsx,generico,máquina de lavar,pt,nao classificado,lavanderia,90500,96964.3,37.0,0.21,1.0,Commercial,1,"Related Searches, AI Overview, Image Pack, Site Links, Video, Video Carousel, People Also Ask, Popular Products",20.0,"[0.45, 0.36, 0.45, 0.36, 0.36, 0.36, 0.45, 0.36, 0.45, 0.54, 0.45, 0.45]",1,generico
2026-08-17_semrush_keywords_genericas-categoria.xlsx,generico,geladeira inox,pt,nao classificado,geladeira,74000,62535.2,36.0,0.23,1.0,Commercial,0,"Site Links, Video, People Also Ask, Popular Products, Related Searches, Image Pack",20.0,"[0.36, 0.3, 0.36, 0.36, 0.36, 0.36, 0.45, 0.3, 0.45, 0.3, 0.36, 0.3]",1,generico
2026-08-17_semrush_keywords_genericas-categoria.xlsx,generico,lava louça,pt,nao classificado,sem categoria,49500,48600.0,32.0,0.11,1.0,Informational,0,"Image Pack, Site Links, Video, People Also Ask, Popular Products, Related Searches, Short Videos",20.0,"[0.3, 0.36, 0.36, 0.3, 0.45, 0.3, 0.82, 0.55, 0.24, 0.82, 0.55, 0.45]",1,generico
2026-08-17_semrush_keywords_genericas-categoria.xlsx,generico,geladeira duas portas,pt,nao classificado,geladeira,49500,67670.9,25.0,0.17,1.0,Informational,0,"Short Videos, Image Pack, Site Links, Video, Video Carousel, People Also Ask, Popular Products, Related Searches",20.0,"[0.44, 0.36, 0.44, 0.44, 0.44, 0.54, 0.66, 0.66, 1.0, 0.66, 0.66, 0.81]",1,generico
2026-08-17_semrush_keywords_genericas-categoria.xlsx,generico,geladeira pequena,pt,nao classificado,geladeira,49500,48400.0,34.0,0.1,1.0,Commercial,0,"Image Pack, Site Links, Video, People Also Ask, Popular Products, Related Searches",20.0,"[0.66, 0.54, 0.66, 0.66, 0.66, 0.66, 0.66, 0.66, 0.81, 0.66, 0.81, 0.66]",1,generico
2026-08-17_semrush_keywords_brastemp.csv,brastemp,geladeira brastemp frost free,pt,especificacao produto,geladeira,49500,47946.2,36.0,0.26,1.0,"Informational, Transactional",0,"Image Pack, Site Links, People Also Ask, Popular Products, Related Searches",20.0,"[0.66, 0.44, 0.54, 0.54, 0.44, 0.54, 0.81, 0.54, 0.66, 0.54, 0.44, 0.54]",1,brastemp
2026-08-17_semrush_keywords_consul.csv,consul,cervejeira consul,pt,nao classificado,sem categoria,49500,44000.0,29.0,0.19,1.0,"Informational, Transactional",0,"Video, People Also Ask, Related Searches, Image Pack, Site Links",20.0,"[0.24, 0.24, 0.3, 0.3, 0.24, 0.24, 0.44, 0.3, 0.3, 0.2, 0.2, 0.24]",1,consul
2026-08-17_semrush_keywords_genericas-categoria.xlsx,generico,ferro de passar,pt,nao classificado,sem categoria,40500,31581.2,26.0,0.08,1.0,"Informational, Commercial",1,"Site Links, Video, Video Carousel, People Also Ask, Related Searches, AI Overview",20.0,"[0.54, 0.54, 0.54, 0.44, 0.54, 0.44, 0.54, 0.44, 0.44, 0.36, 0.36, 0.36]",1,generico
2026-08-17_semrush_keywords_genericas-categoria.xlsx,generico,forno,pt,nao classificado,coccao,40500,35600.4,39.0,0.12,1.0,Commercial,0,"Reviews, Video, Video Carousel, People Also Ask, Popular Products, Related Searches, Local Pack, Image Pack, Site Links",20.0,"[0.81, 0.81, 1.0, 0.81, 0.81, 0.81, 0.66, 0.66, 0.66, 0.66, 0.66, 0.66]",1,generico
2026-08-17_semrush_keywords_genericas-categoria.xlsx,generico,geladeira inverse,pt,nao classificado,geladeira,40500,35274.2,33.0,0.2,1.0,"Informational, Commercial",1,"Site Links, People Also Ask, Related Searches, Image Pack, Reviews, Video, Popular Products, Short Videos, AI Overview",20.0,"[0.36, 0.36, 0.36, 0.36, 0.36, 0.36, 0.66, 0.44, 0.54, 0.36, 0.44, 0.36]",1,generico
2026-08-17_semrush_keywords_genericas-categoria.xlsx,generico,geladeira inverter,pt,especificacao produto,geladeira,40500,44181.8,36.0,0.18,1.0,"Informational, Commercial",1,"AI Overview, Image Pack, Site Links, Reviews, Video, People Also Ask, Popular Products, Related Searches",20.0,"[0.44, 0.36, 0.44, 0.44, 0.44, 0.44, 0.66, 0.54, 0.66, 0.44, 0.54, 0.54]",1,generico
2026-08-17_semrush_keywords_genericas-categoria.xlsx,generico,geladeira side by side,pt,especificacao produto,geladeira,40500,46419.7,24.0,0.22,1.0,"Informational, Commercial",1,"Video Carousel, People Also Ask, Popular Products, Related Searches, AI Overview, Image Pack, Site Links, Video",20.0,"[0.54, 0.44, 0.54, 0.54, 0.44, 0.54, 0.81, 0.54, 0.66, 0.54, 0.66, 0.66]",1,generico
2026-08-17_semrush_keywords_brastemp.csv,brastemp,maquina de lavar brastemp,pt,nao classificado,lavanderia,40500,41441.9,31.0,0.26,1.0,"Informational, Transactional",1,"Popular Products, Related Searches, AI Overview, Site Links, Video, People Also Ask",20.0,"[0.54, 0.44, 0.44, 0.36, 0.36, 0.36, 0.44, 0.44, 0.44, 0.36, 0.54, 0.44]",1,brastemp
2026-08-17_semrush_keywords_consul.csv,consul,geladeira consul frost free,pt,especificacao produto,geladeira,40500,39405.4,30.0,0.23,1.0,Commercial,0,"Popular Products, Related Searches, Image Pack, Site Links, Video, Video Carousel, People Also Ask",20.0,"[0.66, 0.66, 0.54, 0.54, 0.66, 0.66, 1.0, 0.66, 1.0, 0.44, 0.66, 0.66]",1,consul
2026-08-17_semrush_keywords_midea.csv,midea,geladeira midea,pt,nao classificado,geladeira,40500,52175.0,35.0,0.12,1.0,"Navigational, Commercial",0,"Video, Video Carousel, People Also Ask, Popular Products, Related Searches, Short Videos, Image Pack, Site Links",20.0,"[0.36, 0.36, 0.36, 0.44, 0.36, 0.44, 0.54, 0.44, 0.54, 0.36, 0.29, 0.54]",1,midea
2026-08-17_semrush_keywords_samsung.csv,samsung,geladeira samsung,pt,nao classificado,geladeira,40500,32887.2,53.0,0.11,1.0,"Informational, Transactional",0,"Related Searches, Image Pack, Site Links, People Also Ask, Popular Products",20.0,"[0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.54, 0.44, 0.54, 0.36, 0.44, 0.36]",1,samsung
2026-08-17_semrush_keywords_genericas-categoria.xlsx,generico,micro ondas,pt,nao classificado,coccao,33100,36109.1,35.0,0.15,1.0,"Informational, Commercial",1,"Popular Products, Related Searches, AI Overview, Site Links, Video, Video Carousel, People Also Ask",20.0,"[0.44, 0.44, 0.44, 0.36, 0.36, 0.36, 0.66, 0.44, 0.3, 0.24, 0.36, 0.44]",1,generico
2026-08-17_semrush_keywords_genericas-categoria.xlsx,generico,geladeira preta,pt,nao classificado,geladeira,33100,37665.5,24.0,0.21,1.0,"Informational, Commercial",0,"Reviews, Image, People Also Ask, Short Videos, Site Links, Video, Popular Products, Related Searches, Image Pack",20.0,"[0.54, 0.54, 0.54, 0.54, 0.54, 0.66, 0.66, 0.54, 0.66, 0.54, 0.54, 0.66]",1,generico
2026-08-17_semrush_keywords_genericas-categoria.xlsx,generico,mini geladeira,pt,nao classificado,geladeira,33100,57113.7,35.0,0.07,0.99,Informational,0,"Image, People Also Ask, Popular Products, Related Searches, Short Videos, Image Pack, Site Links, Video",20.0,"[0.16, 0.13, 0.13, 0.16, 0.16, 0.16, 0.16, 0.16, 0.16, 0.24, 1.0, 0.44]",1,generico
2026-08-17_semrush_keywords_hisense.csv,hisense,hisense,pt,marca e navegacao,sem categoria,33100,23003.9,47.0,0.15,1.0,Navigational,0,"Video Carousel, People Also Ask, Popular Products, Related Searches, Knowledge Panel, Image Pack, Site Links, Video",20.0,"[0.2, 1.0, 0.44, 0.24, 0.36, 0.36, 0.54, 0.54, 0.54, 0.3, 0.36, 0.3]",1,hisense
2026-08-17_semrush_keywords_midea.csv,midea,lava e seca midea,pt,especificacao produto,lavanderia,33100,31729.0,30.0,0.2,1.0,"Navigational, Transactional",0,"Site Links, Video, Video Carousel, People Also Ask, Popular Products, Related Searches",20.0,"[0.44, 0.66, 0.66, 0.54, 0.66, 0.44, 0.66, 0.54, 0.54, 0.54, 0.54, 0.54]",1,midea
2026-08-17_semrush_keywords_electrolux-branded.xlsx,electrolux,geladeira eletrolux,pt,nao classificado,geladeira,27100,24670.3,48.0,0.15,1.0,Commercial,1,"Image Pack, Site Links, Video Carousel, People Also Ask, Popular Products, Related Searches, AI Overview",20.0,"[0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.66, 0.54, 0.54, 0.44, 0.54, 0.44]",1,electrolux
2026-08-17_semrush_keywords_electrolux-branded.xlsx,electrolux,electrolux geladeira,pt,marca e navegacao,geladeira,27100,30138.7,48.0,0.29,1.0,Commercial,0,"Popular Products, Related Searches, Image Pack, Site Links, People Also Ask",20.0,"[0.66, 0.54, 0.66, 0.66, 0.66, 0.66, 1.0, 0.81, 0.81, 0.66, 0.81, 0.81]",1,electrolux
2026-08-17_semrush_keywords_electrolux-branded.xlsx,electrolux,geladeira frost free electrolux,pt,especificacao produto,geladeira,27100,25015.4,40.0,0.19,1.0,"Informational, Transactional",0,"Image Pack, Site Links, Video, Video Carousel, People Also Ask, Popular Products, Related Searches",20.0,"[0.36, 0.3, 0.3, 0.36, 0.3, 0.3, 0.36, 0.36, 0.36, 0.3, 0.3, 0.3]",1,electrolux
2026-08-17_semrush_keywords_genericas-categoria.xlsx,generico,fogão 6 bocas,pt,nao classificado,coccao,27100,26400.0,24.0,0.1,1.0,Commercial,1,"Popular Products, Related Searches, Short Videos, AI Overview, Image Pack, Site Links, Video, People Also Ask",20.0,"[0.54, 0.44, 0.54, 0.44, 0.54, 0.44, 0.44, 0.44, 0.44, 0.36, 0.36, 0.44]",1,generico
2026-08-17_semrush_keywords_genericas-categoria.xlsx,generico,geladeira 2 portas,pt,nao classificado,geladeira,27100,27306.9,24.0,0.19,1.0,Informational,0,"Related Searches, Short Videos, Image Pack, Site Links, Video, People Also Ask, Popular Products",20.0,"[0.66, 0.54, 0.66, 0.66, 0.54, 0.66, 0.81, 0.66, 0.81, 0.54, 0.66, 0.66]",1,generico
2026-08-17_semrush_keywords_genericas-categoria.xlsx,generico,geladeira 3 portas,pt,nao classificado,geladeira,27100,30618.0,22.0,0.26,1.0,Informational,0,"Site Links, Video, People Also Ask, Popular Products, Related Searches, Short Videos, Image Pack",20.0,"[0.54, 0.44, 0.54, 0.54, 0.54, 0.54, 0.81, 0.54, 0.66, 0.54, 0.66, 0.66]",1,generico
2026-08-17_semrush_keywords_brastemp.csv,brastemp,brastemp geladeira,pt,marca e navegacao,geladeira,27100,33296.9,45.0,0.48,1.0,"Informational, Transactional",0,"People Also Ask, Popular Products, Related Searches, Site Links, Reviews, Video",20.0,"[0.3, 0.2, 0.2, 0.16, 0.24, 0.2, 0.45, 0.2, 0.24, 0.2, 0.24, 0.3]",1,brastemp
2026-08-17_semrush_keywords_brastemp.csv,brastemp,frigobar brastemp,pt,nao classificado,sem categoria,27100,19485.1,31.0,0.19,1.0,"Informational, Transactional",0,"Image Pack, Site Links, Video, People Also Ask, Popular Products, Related Searches",20.0,"[0.44, 0.36, 0.36, 0.44, 0.54, 0.44, 0.44, 0.44, 0.44, 0.29, 0.36, 0.29]",1,brastemp
2026-08-17_semrush_keywords_brastemp.csv,brastemp,lava louças brastemp,pt,nao classificado,lava loucas,27100,16316.3,35.0,0.25,1.0,"Informational, Transactional",1,"Popular Products, Related Searches, Short Videos, Site Links, Video, People Also Ask, AI Overview, Image Pack, Reviews",20.0,"[0.66, 0.44, 0.66, 0.44, 0.44, 0.44, 0.66, 0.66, 0.36, 0.29, 0.44, 0.29]",1,brastemp
2026-08-17_semrush_keywords_brastemp.csv,brastemp,microondas brastemp,pt,nao classificado,coccao,27100,24838.5,35.0,0.18,1.0,Commercial,0,"Image Pack, Site Links, Reviews, People Also Ask, Popular Products, Related Searches",20.0,"[0.66, 0.81, 0.66, 0.81, 0.54, 0.66, 0.54, 0.29, 0.54, 0.36, 0.66, 0.54]",1,brastemp
2026-08-17_semrush_keywords_genericas-categoria.xlsx,generico,geladeira barata,pt,nao classificado,geladeira,22200,20318.6,42.0,0.09,1.0,Commercial,0,"People Also Ask, Popular Products, Related Searches, Image Pack, Site Links, Video, Video Carousel",20.0,"[0.36, 0.36, 0.44, 0.36, 0.44, 0.36, 0.44, 0.36, 0.44, 0.36, 0.44, 0.36]",1,generico
2026-08-17_semrush_keywords_genericas-categoria.xlsx,generico,geladeira duplex,pt,especificacao produto,geladeira,22200,24888.6,32.0,0.19,1.0,"Informational, Commercial",0,"Image Pack, Site Links, Video, People Also Ask, Popular Products, Related Searches",20.0,"[0.44, 0.44, 0.44, 0.44, 0.44, 0.44, 0.54, 0.54, 0.54, 0.44, 0.54, 0.54]",1,generico
2026-08-17_semrush_keywords_brastemp.csv,brastemp,geladeira brastemp inverse,pt,nao classificado,geladeira,22200,26013.7,37.0,0.26,1.0,"Informational, Transactional",0,"Popular Products, Related Searches, Image Pack, Site Links, Reviews, Video, Video Carousel, People Also Ask",20.0,"[0.36, 0.36, 0.44, 0.54, 0.36, 0.29, 0.81, 0.44, 0.66, 0.29, 0.44, 0.54]",1,brastemp
2026-08-17_semrush_keywords_brastemp.csv,brastemp,geladeira frost free brastemp,pt,especificacao produto,geladeira,22200,29061.8,35.0,0.26,1.0,"Informational, Transactional",1,"Reviews, People Also Ask, Popular Products, Related Searches, Adwords Middle, AI Overview, Image Pack, Site Links",20.0,"[0.08, 0.16, 0.2, 0.3, 0.3, 0.36, 0.44, 0.3, 0.3, 0.2, 0.3, 0.36]",1,brastemp
2026-08-17_semrush_keywords_brastemp.csv,brastemp,máquina de lavar roupa brastemp,pt,nao classificado,lavanderia,22200,24108.6,36.0,0.17,1.0,Commercial,1,"Video, People Also Ask, Popular Products, Related Searches, AI Overview, Image Pack, Site Links",20.0,"[0.81, 0.81, 0.81, 1.0, 0.81, 1.0, 1.0, 1.0, 1.0, 0.81, 1.0, 1.0]",1,brastemp
2026-08-17_semrush_keywords_genericas-categoria.xlsx,generico,filtro de água,pt,peca e consumivel,purificador,18100,17376.0,35.0,0.15,1.0,"Informational, Commercial",1,"Related Searches, AI Overview, Image Pack, Site Links, Video, People Also Ask, Popular Products",20.0,"[0.66, 0.54, 0.66, 0.66, 0.66, 0.66, 0.81, 0.66, 0.81, 0.66, 0.81, 0.66]",1,generico
2026-08-17_semrush_keywords_brastemp.csv,brastemp,fogão 5 bocas brastemp,pt,nao classificado,coccao,18100,26111.5,30.0,0.16,1.0,Informational,0,"Related Searches, Image Pack, Site Links, People Also Ask, Popular Products",20.0,"[0.44, 0.54, 0.66, 0.44, 0.36, 0.29, 0.66, 0.44, 0.44, 0.36, 0.2, 0.66]",1,brastemp
2026-08-17_semrush_keywords_brastemp.csv,brastemp,lava louça brastemp,pt,nao classificado,sem categoria,18100,21919.3,38.0,0.25,1.0,"Navigational, Transactional",1,"Site Links, Reviews, Video, Video Carousel, People Also Ask, Related Searches, Short Videos, Image Pack, Popular Products, AI Overview",20.0,"[0.44, 0.36, 0.36, 0.29, 0.29, 0.24, 0.81, 0.36, 0.24, 0.24, 0.29, 0.44]",1,brastemp
2026-08-17_semrush_keywords_midea.csv,midea,ar condicionado midea,pt,nao classificado,ar condicionado,18100,13205.0,35.0,0.17,1.0,"Informational, Navigational",0,"People Also Ask, Popular Products, Related Searches, Image Pack, Site Links, Video Carousel",20.0,"[0.2, 0.2, 0.24, 0.24, 0.36, 0.54, 0.44, 1.0, 0.66, 0.36, 0.24, 0.29]",1,midea
2026-08-17_semrush_keywords_midea.csv,midea,frigobar midea,pt,nao classificado,sem categoria,18100,19745.5,28.0,0.11,1.0,"Informational, Transactional",0,"Image Pack, Site Links, Video Carousel, People Also Ask, Popular Products, Related Searches",20.0,"[0.44, 0.36, 0.44, 0.44, 0.44, 0.54, 0.66, 0.54, 0.66, 0.44, 0.44, 0.54]",1,midea
2026-08-17_semrush_keywords_electrolux-branded.xlsx,electrolux,geladeira electrolux inox,pt,nao classificado,geladeira,14800,11582.6,41.0,0.16,1.0,"Informational, Transactional",0,"Image Pack, Site Links, People Also Ask, Related Searches",20.0,"[0.44, 0.36, 0.44, 0.54, 0.44, 0.44, 0.54, 0.54, 0.54, 0.44, 0.44, 0.36]",1,electrolux
2026-08-17_semrush_keywords_genericas-categoria.xlsx,generico,geladeiras em promoção,pt,nao classificado,geladeira,14800,11551.2,42.0,0.16,1.0,"Informational, Commercial",1,"Site Links, Video, Video Carousel, People Also Ask, Popular Products, Related Searches, AI Overview, Image Pack",20.0,"[0.24, 0.16, 0.16, 0.2, 0.16, 0.2, 0.3, 0.24, 0.24, 0.2, 0.2, 0.16]",1,generico
2026-08-17_semrush_keywords_brastemp.csv,brastemp,fogão 4 bocas brastemp,pt,nao classificado,coccao,14800,14400.0,30.0,0.12,1.0,"Informational, Transactional",1,"Related Searches, AI Overview, Image Pack, Site Links, Reviews, Video, People Also Ask, Popular Products",20.0,"[0.54, 0.66, 0.54, 0.54, 0.44, 0.54, 0.66, 0.66, 0.44, 0.44, 0.66, 0.54]",1,brastemp
2026-08-17_semrush_keywords_brastemp.csv,brastemp,fogão brastemp,pt,nao classificado,coccao,14800,17125.7,39.0,0.18,1.0,"Navigational, Transactional",0,"People Also Ask, Popular Products, Related Searches, Image Pack, Site Links",20.0,"[0.67, 0.54, 0.54, 0.54, 0.36, 0.44, 0.67, 0.36, 0.29, 0.29, 0.36, 0.54]",1,brastemp
