prioridade,familia,categoria,keyword,racional
1,defeito,máquina de lavar,máquina de lavar não bate,query de socorro; altissima intencao de servico
1,defeito,máquina de lavar,máquina de lavar não bate o que fazer,formulacao de busca por solucao
1,defeito,máquina de lavar,como resolver máquina de lavar não bate,formulacao alternativa
1,defeito,máquina de lavar,máquina de lavar parou no meio do ciclo,query de socorro; altissima intencao de servico
1,defeito,máquina de lavar,máquina de lavar parou no meio do ciclo o que fazer,formulacao de busca por solucao
1,defeito,máquina de lavar,como resolver máquina de lavar parou no meio do ciclo,formulacao alternativa
1,defeito,máquina de lavar,máquina de lavar tambor não gira,query de socorro; altissima intencao de servico
1,defeito,máquina de lavar,máquina de lavar tambor não gira o que fazer,formulacao de busca por solucao
1,defeito,máquina de lavar,como resolver máquina de lavar tambor não gira,formulacao alternativa
1,defeito,lavadora de roupas,lavadora de roupas não centrifuga,query de socorro; altissima intencao de servico
1,defeito,lavadora de roupas,lavadora de roupas não enche,query de socorro; altissima intencao de servico
1,defeito,lavadora de roupas,lavadora de roupas não escoa,query de socorro; altissima intencao de servico
1,defeito,lavadora de roupas,lavadora de roupas fazendo barulho,query de socorro; altissima intencao de servico
1,defeito,lava e seca,lava e seca não seca,query de socorro; altissima intencao de servico
1,defeito,lava e seca,lava e seca não seca o que fazer,formulacao de busca por solucao
1,defeito,lava e seca,como resolver lava e seca não seca,formulacao alternativa
1,defeito,lava e seca,lava e seca não centrifuga,query de socorro; altissima intencao de servico
1,defeito,lava e seca,lava e seca não centrifuga o que fazer,formulacao de busca por solucao
1,defeito,lava e seca,como resolver lava e seca não centrifuga,formulacao alternativa
1,defeito,lava e seca,lava e seca não esquenta,query de socorro; altissima intencao de servico
1,defeito,lava e seca,lava e seca não esquenta o que fazer,formulacao de busca por solucao
1,defeito,lava e seca,como resolver lava e seca não esquenta,formulacao alternativa
1,defeito,lava e seca,lava e seca não escoa,query de socorro; altissima intencao de servico
1,defeito,lava e seca,lava e seca não escoa o que fazer,formulacao de busca por solucao
1,defeito,lava e seca,como resolver lava e seca não escoa,formulacao alternativa
1,defeito,lava e seca,lava e seca fazendo barulho,query de socorro; altissima intencao de servico
1,defeito,lava e seca,lava e seca fazendo barulho o que fazer,formulacao de busca por solucao
1,defeito,lava e seca,como resolver lava e seca fazendo barulho,formulacao alternativa
1,defeito,secadora de roupas,secadora de roupas não seca,query de socorro; altissima intencao de servico
1,defeito,secadora de roupas,secadora de roupas não seca o que fazer,formulacao de busca por solucao
1,defeito,secadora de roupas,como resolver secadora de roupas não seca,formulacao alternativa
1,defeito,secadora de roupas,secadora de roupas não esquenta,query de socorro; altissima intencao de servico
1,defeito,secadora de roupas,secadora de roupas não esquenta o que fazer,formulacao de busca por solucao
1,defeito,secadora de roupas,como resolver secadora de roupas não esquenta,formulacao alternativa
1,defeito,secadora de roupas,secadora de roupas não liga,query de socorro; altissima intencao de servico
1,defeito,secadora de roupas,secadora de roupas não liga o que fazer,formulacao de busca por solucao
1,defeito,secadora de roupas,como resolver secadora de roupas não liga,formulacao alternativa
1,defeito,secadora de roupas,secadora de roupas fazendo barulho,query de socorro; altissima intencao de servico
1,defeito,secadora de roupas,secadora de roupas fazendo barulho o que fazer,formulacao de busca por solucao
1,defeito,secadora de roupas,como resolver secadora de roupas fazendo barulho,formulacao alternativa
1,defeito,fogão,fogão não acende,query de socorro; altissima intencao de servico
1,defeito,fogão,fogão não acende o que fazer,formulacao de busca por solucao
1,defeito,fogão,como resolver fogão não acende,formulacao alternativa
1,defeito,fogão,fogão boca não acende,query de socorro; altissima intencao de servico
1,defeito,fogão,fogão boca não acende o que fazer,formulacao de busca por solucao
1,defeito,fogão,como resolver fogão boca não acende,formulacao alternativa
1,defeito,fogão,fogão forno não acende,query de socorro; altissima intencao de servico
1,defeito,fogão,fogão forno não acende o que fazer,formulacao de busca por solucao
1,defeito,fogão,como resolver fogão forno não acende,formulacao alternativa
1,defeito,fogão,fogão chama amarela,query de socorro; altissima intencao de servico
1,defeito,fogão,fogão chama amarela o que fazer,formulacao de busca por solucao
1,defeito,fogão,como resolver fogão chama amarela,formulacao alternativa
1,defeito,fogão,fogão cheiro de gás,query de socorro; altissima intencao de servico
1,defeito,fogão,fogão cheiro de gás o que fazer,formulacao de busca por solucao
1,defeito,fogão,como resolver fogão cheiro de gás,formulacao alternativa
1,defeito,fogão,fogão acendimento automático não funciona,query de socorro; altissima intencao de servico
1,defeito,fogão,fogão acendimento automático não funciona o que fazer,formulacao de busca por solucao
1,defeito,fogão,como resolver fogão acendimento automático não funciona,formulacao alternativa
1,defeito,cooktop,cooktop não acende,query de socorro; altissima intencao de servico
1,defeito,cooktop,cooktop não liga,query de socorro; altissima intencao de servico
1,defeito,cooktop,cooktop chama fraca,query de socorro; altissima intencao de servico
1,defeito,forno elétrico,forno elétrico não esquenta,query de socorro; altissima intencao de servico
1,defeito,forno elétrico,forno elétrico não liga,query de socorro; altissima intencao de servico
1,defeito,forno elétrico,forno elétrico resistência queimada,query de socorro; altissima intencao de servico
1,defeito,micro-ondas,micro-ondas não esquenta,query de socorro; altissima intencao de servico
1,defeito,micro-ondas,micro-ondas não esquenta o que fazer,formulacao de busca por solucao
1,defeito,micro-ondas,como resolver micro-ondas não esquenta,formulacao alternativa
1,defeito,micro-ondas,micro-ondas prato não gira,query de socorro; altissima intencao de servico
1,defeito,micro-ondas,micro-ondas prato não gira o que fazer,formulacao de busca por solucao
1,defeito,micro-ondas,como resolver micro-ondas prato não gira,formulacao alternativa
1,defeito,micro-ondas,micro-ondas dando faísca,query de socorro; altissima intencao de servico
1,defeito,micro-ondas,micro-ondas dando faísca o que fazer,formulacao de busca por solucao
1,defeito,micro-ondas,como resolver micro-ondas dando faísca,formulacao alternativa
1,defeito,micro-ondas,micro-ondas não liga,query de socorro; altissima intencao de servico
1,defeito,micro-ondas,micro-ondas não liga o que fazer,formulacao de busca por solucao
1,defeito,micro-ondas,como resolver micro-ondas não liga,formulacao alternativa
1,defeito,micro-ondas,micro-ondas com barulho,query de socorro; altissima intencao de servico
1,defeito,micro-ondas,micro-ondas com barulho o que fazer,formulacao de busca por solucao
1,defeito,micro-ondas,como resolver micro-ondas com barulho,formulacao alternativa
1,defeito,lava louças,lava louças não seca,query de socorro; altissima intencao de servico
1,defeito,lava louças,lava louças não seca o que fazer,formulacao de busca por solucao
1,defeito,lava louças,como resolver lava louças não seca,formulacao alternativa
1,defeito,lava louças,lava louças não escoa,query de socorro; altissima intencao de servico
1,defeito,lava louças,lava louças não escoa o que fazer,formulacao de busca por solucao
1,defeito,lava louças,como resolver lava louças não escoa,formulacao alternativa
1,defeito,lava louças,lava louças não lava direito,query de socorro; altissima intencao de servico
1,defeito,lava louças,lava louças não lava direito o que fazer,formulacao de busca por solucao
1,defeito,lava louças,como resolver lava louças não lava direito,formulacao alternativa
1,defeito,lava louças,lava louças não liga,query de socorro; altissima intencao de servico
1,defeito,lava louças,lava louças não liga o que fazer,formulacao de busca por solucao
1,defeito,lava louças,como resolver lava louças não liga,formulacao alternativa
1,defeito,lava louças,lava louças vazando,query de socorro; altissima intencao de servico
1,defeito,lava louças,lava louças vazando o que fazer,formulacao de busca por solucao
1,defeito,lava louças,como resolver lava louças vazando,formulacao alternativa
1,defeito,ar condicionado,ar condicionado não gela,query de socorro; altissima intencao de servico
1,defeito,ar condicionado,ar condicionado não gela o que fazer,formulacao de busca por solucao
1,defeito,ar condicionado,como resolver ar condicionado não gela,formulacao alternativa
1,defeito,ar condicionado,ar condicionado pingando agua,query de socorro; altissima intencao de servico
1,defeito,ar condicionado,ar condicionado pingando agua o que fazer,formulacao de busca por solucao
1,defeito,ar condicionado,como resolver ar condicionado pingando agua,formulacao alternativa
1,defeito,ar condicionado,ar condicionado não liga,query de socorro; altissima intencao de servico
1,defeito,ar condicionado,ar condicionado não liga o que fazer,formulacao de busca por solucao
1,defeito,ar condicionado,como resolver ar condicionado não liga,formulacao alternativa
1,defeito,ar condicionado,ar condicionado com cheiro,query de socorro; altissima intencao de servico
1,defeito,ar condicionado,ar condicionado com cheiro o que fazer,formulacao de busca por solucao
1,defeito,ar condicionado,como resolver ar condicionado com cheiro,formulacao alternativa
1,defeito,ar condicionado,ar condicionado luz piscando,query de socorro; altissima intencao de servico
1,defeito,ar condicionado,ar condicionado luz piscando o que fazer,formulacao de busca por solucao
1,defeito,ar condicionado,como resolver ar condicionado luz piscando,formulacao alternativa
1,defeito,ar condicionado,ar condicionado fazendo barulho,query de socorro; altissima intencao de servico
1,defeito,ar condicionado,ar condicionado fazendo barulho o que fazer,formulacao de busca por solucao
1,defeito,ar condicionado,como resolver ar condicionado fazendo barulho,formulacao alternativa
1,defeito,ar condicionado,ar condicionado desligando sozinho,query de socorro; altissima intencao de servico
1,defeito,ar condicionado,ar condicionado desligando sozinho o que fazer,formulacao de busca por solucao
1,defeito,ar condicionado,como resolver ar condicionado desligando sozinho,formulacao alternativa
1,defeito,air fryer,air fryer não esquenta,query de socorro; altissima intencao de servico
1,defeito,air fryer,air fryer não esquenta o que fazer,formulacao de busca por solucao
1,defeito,air fryer,como resolver air fryer não esquenta,formulacao alternativa
1,defeito,air fryer,air fryer não liga,query de socorro; altissima intencao de servico
1,defeito,air fryer,air fryer não liga o que fazer,formulacao de busca por solucao
1,defeito,air fryer,como resolver air fryer não liga,formulacao alternativa
1,defeito,air fryer,air fryer com cheiro de queimado,query de socorro; altissima intencao de servico
1,defeito,air fryer,air fryer com cheiro de queimado o que fazer,formulacao de busca por solucao
1,defeito,air fryer,como resolver air fryer com cheiro de queimado,formulacao alternativa
1,defeito,air fryer,air fryer desligando sozinha,query de socorro; altissima intencao de servico
1,defeito,air fryer,air fryer desligando sozinha o que fazer,formulacao de busca por solucao
1,defeito,air fryer,como resolver air fryer desligando sozinha,formulacao alternativa
1,defeito,fritadeira elétrica,fritadeira elétrica não esquenta,query de socorro; altissima intencao de servico
1,defeito,fritadeira elétrica,fritadeira elétrica não liga,query de socorro; altissima intencao de servico
1,defeito,aspirador de pó,aspirador de pó perdeu sucção,query de socorro; altissima intencao de servico
1,defeito,aspirador de pó,aspirador de pó perdeu sucção o que fazer,formulacao de busca por solucao
1,defeito,aspirador de pó,como resolver aspirador de pó perdeu sucção,formulacao alternativa
1,defeito,aspirador de pó,aspirador de pó não liga,query de socorro; altissima intencao de servico
1,defeito,aspirador de pó,aspirador de pó não liga o que fazer,formulacao de busca por solucao
1,defeito,aspirador de pó,como resolver aspirador de pó não liga,formulacao alternativa
1,defeito,aspirador de pó,aspirador de pó não puxa,query de socorro; altissima intencao de servico
1,defeito,aspirador de pó,aspirador de pó não puxa o que fazer,formulacao de busca por solucao
1,defeito,aspirador de pó,como resolver aspirador de pó não puxa,formulacao alternativa
1,defeito,aspirador de pó,aspirador de pó com pouca forca,query de socorro; altissima intencao de servico
1,defeito,aspirador de pó,aspirador de pó com pouca forca o que fazer,formulacao de busca por solucao
1,defeito,aspirador de pó,como resolver aspirador de pó com pouca forca,formulacao alternativa
1,defeito,robô aspirador,robô aspirador não carrega,query de socorro; altissima intencao de servico
1,defeito,robô aspirador,robô aspirador não liga,query de socorro; altissima intencao de servico
1,defeito,robô aspirador,robô aspirador não volta para base,query de socorro; altissima intencao de servico
1,defeito,purificador de água,purificador de água vazando,query de socorro; altissima intencao de servico
1,defeito,purificador de água,purificador de água não gela,query de socorro; altissima intencao de servico
1,defeito,purificador de água,purificador de água sem pressão,query de socorro; altissima intencao de servico
1,defeito,purificador de água,purificador de água luz vermelha acesa,query de socorro; altissima intencao de servico
1,defeito,bebedouro,bebedouro não gela,query de socorro; altissima intencao de servico
1,defeito,bebedouro,bebedouro vazando,query de socorro; altissima intencao de servico
1,defeito,coifa,coifa não puxa fumaça,query de socorro; altissima intencao de servico
1,defeito,coifa,coifa fazendo barulho,query de socorro; altissima intencao de servico
1,defeito,depurador de ar,depurador de ar não puxa,query de socorro; altissima intencao de servico
1,defeito,depurador de ar,depurador de ar com barulho,query de socorro; altissima intencao de servico
1,defeito,adega climatizada,adega climatizada não gela,query de socorro; altissima intencao de servico
1,defeito,adega climatizada,adega climatizada fazendo barulho,query de socorro; altissima intencao de servico
1,defeito,cervejeira,cervejeira não gela,query de socorro; altissima intencao de servico
1,defeito,ventilador,ventilador não liga,query de socorro; altissima intencao de servico
1,defeito,ventilador,ventilador fazendo barulho,query de socorro; altissima intencao de servico
1,defeito,batedeira,batedeira não liga,query de socorro; altissima intencao de servico
1,defeito,batedeira,batedeira perdeu forca,query de socorro; altissima intencao de servico
1,defeito,liquidificador,liquidificador não liga,query de socorro; altissima intencao de servico
1,defeito,liquidificador,liquidificador vazando,query de socorro; altissima intencao de servico
1,defeito,ferro de passar,ferro de passar não esquenta,query de socorro; altissima intencao de servico
1,defeito,ferro de passar,ferro de passar vazando água,query de socorro; altissima intencao de servico
1,defeito,ferro de passar,ferro de passar manchando roupa,query de socorro; altissima intencao de servico
1,defeito,cafeteira,cafeteira não esquenta,query de socorro; altissima intencao de servico
1,defeito,cafeteira,cafeteira vazando,query de socorro; altissima intencao de servico
1,defeito,cafeteira,cafeteira não passa café,query de socorro; altissima intencao de servico
1,defeito,panela elétrica,panela elétrica não esquenta,query de socorro; altissima intencao de servico
1,defeito,panela elétrica,panela elétrica não liga,query de socorro; altissima intencao de servico
1,defeito,lavadora de alta pressão,lavadora de alta pressão sem pressão,query de socorro; altissima intencao de servico
1,defeito,lavadora de alta pressão,lavadora de alta pressão não liga,query de socorro; altissima intencao de servico
1,defeito,sanduicheira,sanduicheira não esquenta,query de socorro; altissima intencao de servico
1,defeito,chaleira elétrica,chaleira elétrica não esquenta,query de socorro; altissima intencao de servico
1,defeito,chaleira elétrica,chaleira elétrica não desliga,query de socorro; altissima intencao de servico
2,assistencia,geladeira,assistência técnica geladeira,cabeca da familia
2,assistencia,geladeira,assistência técnica geladeira perto de mim,padrao observado no corpus de IA
2,assistencia,geladeira,conserto de geladeira,sinonimo de alta frequencia
2,assistencia,geladeira,quanto custa consertar geladeira,decisao consertar x trocar
2,assistencia,geladeira,vale a pena consertar geladeira,decisao consertar x trocar
2,assistencia,geladeira,orçamento conserto geladeira,intencao transacional de servico
2,assistencia,máquina de lavar,assistência técnica máquina de lavar,cabeca da familia
2,assistencia,máquina de lavar,assistência técnica máquina de lavar perto de mim,padrao observado no corpus de IA
2,assistencia,máquina de lavar,conserto de máquina de lavar,sinonimo de alta frequencia
2,assistencia,máquina de lavar,quanto custa consertar máquina de lavar,decisao consertar x trocar
2,assistencia,máquina de lavar,vale a pena consertar máquina de lavar,decisao consertar x trocar
2,assistencia,máquina de lavar,orçamento conserto máquina de lavar,intencao transacional de servico
2,assistencia,lava e seca,assistência técnica lava e seca,cabeca da familia
2,assistencia,lava e seca,assistência técnica lava e seca perto de mim,padrao observado no corpus de IA
2,assistencia,lava e seca,conserto de lava e seca,sinonimo de alta frequencia
2,assistencia,lava e seca,quanto custa consertar lava e seca,decisao consertar x trocar
2,assistencia,lava e seca,vale a pena consertar lava e seca,decisao consertar x trocar
2,assistencia,lava e seca,orçamento conserto lava e seca,intencao transacional de servico
2,assistencia,fogão,assistência técnica fogão,cabeca da familia
2,assistencia,fogão,assistência técnica fogão perto de mim,padrao observado no corpus de IA
2,assistencia,fogão,conserto de fogão,sinonimo de alta frequencia
2,assistencia,fogão,quanto custa consertar fogão,decisao consertar x trocar
2,assistencia,fogão,vale a pena consertar fogão,decisao consertar x trocar
2,assistencia,fogão,orçamento conserto fogão,intencao transacional de servico
2,assistencia,micro-ondas,assistência técnica micro-ondas,cabeca da familia
2,assistencia,micro-ondas,assistência técnica micro-ondas perto de mim,padrao observado no corpus de IA
2,assistencia,micro-ondas,conserto de micro-ondas,sinonimo de alta frequencia
2,assistencia,micro-ondas,quanto custa consertar micro-ondas,decisao consertar x trocar
2,assistencia,micro-ondas,vale a pena consertar micro-ondas,decisao consertar x trocar
2,assistencia,micro-ondas,orçamento conserto micro-ondas,intencao transacional de servico
2,assistencia,ar condicionado,assistência técnica ar condicionado,cabeca da familia
2,assistencia,ar condicionado,assistência técnica ar condicionado perto de mim,padrao observado no corpus de IA
2,assistencia,ar condicionado,conserto de ar condicionado,sinonimo de alta frequencia
2,assistencia,ar condicionado,quanto custa consertar ar condicionado,decisao consertar x trocar
2,assistencia,ar condicionado,vale a pena consertar ar condicionado,decisao consertar x trocar
2,assistencia,ar condicionado,orçamento conserto ar condicionado,intencao transacional de servico
2,assistencia,air fryer,assistência técnica air fryer,cabeca da familia
2,assistencia,air fryer,assistência técnica air fryer perto de mim,padrao observado no corpus de IA
2,assistencia,air fryer,conserto de air fryer,sinonimo de alta frequencia
2,assistencia,air fryer,quanto custa consertar air fryer,decisao consertar x trocar
2,assistencia,air fryer,vale a pena consertar air fryer,decisao consertar x trocar
2,assistencia,air fryer,orçamento conserto air fryer,intencao transacional de servico
2,assistencia,lava louças,assistência técnica lava louças,cabeca da familia
2,assistencia,lava louças,assistência técnica lava louças perto de mim,padrao observado no corpus de IA
2,assistencia,lava louças,conserto de lava louças,sinonimo de alta frequencia
2,assistencia,lava louças,quanto custa consertar lava louças,decisao consertar x trocar
2,assistencia,lava louças,vale a pena consertar lava louças,decisao consertar x trocar
2,assistencia,lava louças,orçamento conserto lava louças,intencao transacional de servico
2,assistencia,aspirador de pó,assistência técnica aspirador de pó,cabeca da familia
2,assistencia,aspirador de pó,assistência técnica aspirador de pó perto de mim,padrao observado no corpus de IA
2,assistencia,aspirador de pó,conserto de aspirador de pó,sinonimo de alta frequencia
2,assistencia,aspirador de pó,quanto custa consertar aspirador de pó,decisao consertar x trocar
2,assistencia,aspirador de pó,vale a pena consertar aspirador de pó,decisao consertar x trocar
2,assistencia,aspirador de pó,orçamento conserto aspirador de pó,intencao transacional de servico
2,assistencia,secadora de roupas,assistência técnica secadora de roupas,cabeca da familia
2,assistencia,secadora de roupas,assistência técnica secadora de roupas perto de mim,padrao observado no corpus de IA
2,assistencia,secadora de roupas,conserto de secadora de roupas,sinonimo de alta frequencia
2,assistencia,secadora de roupas,quanto custa consertar secadora de roupas,decisao consertar x trocar
2,assistencia,secadora de roupas,vale a pena consertar secadora de roupas,decisao consertar x trocar
2,assistencia,secadora de roupas,orçamento conserto secadora de roupas,intencao transacional de servico
2,assistencia,freezer,assistência técnica freezer,cabeca da familia
2,assistencia,freezer,assistência técnica freezer perto de mim,padrao observado no corpus de IA
2,assistencia,freezer,conserto de freezer,sinonimo de alta frequencia
2,assistencia,freezer,quanto custa consertar freezer,decisao consertar x trocar
2,assistencia,freezer,vale a pena consertar freezer,decisao consertar x trocar
2,assistencia,freezer,orçamento conserto freezer,intencao transacional de servico
2,assistencia,cooktop,assistência técnica cooktop,cabeca da familia
2,assistencia,cooktop,assistência técnica cooktop perto de mim,padrao observado no corpus de IA
2,assistencia,cooktop,conserto de cooktop,sinonimo de alta frequencia
2,assistencia,cooktop,quanto custa consertar cooktop,decisao consertar x trocar
2,assistencia,cooktop,vale a pena consertar cooktop,decisao consertar x trocar
2,assistencia,cooktop,orçamento conserto cooktop,intencao transacional de servico
2,assistencia,forno elétrico,assistência técnica forno elétrico,cabeca da familia
2,assistencia,forno elétrico,assistência técnica forno elétrico perto de mim,padrao observado no corpus de IA
2,assistencia,forno elétrico,conserto de forno elétrico,sinonimo de alta frequencia
2,assistencia,forno elétrico,quanto custa consertar forno elétrico,decisao consertar x trocar
2,assistencia,forno elétrico,vale a pena consertar forno elétrico,decisao consertar x trocar
2,assistencia,forno elétrico,orçamento conserto forno elétrico,intencao transacional de servico
2,assistencia,purificador de água,assistência técnica purificador de água,cabeca da familia
2,assistencia,purificador de água,assistência técnica purificador de água perto de mim,padrao observado no corpus de IA
2,assistencia,purificador de água,conserto de purificador de água,sinonimo de alta frequencia
2,assistencia,purificador de água,quanto custa consertar purificador de água,decisao consertar x trocar
2,assistencia,purificador de água,vale a pena consertar purificador de água,decisao consertar x trocar
2,assistencia,purificador de água,orçamento conserto purificador de água,intencao transacional de servico
2,assistencia,coifa,assistência técnica coifa,cabeca da familia
2,assistencia,coifa,assistência técnica coifa perto de mim,padrao observado no corpus de IA
2,assistencia,coifa,conserto de coifa,sinonimo de alta frequencia
2,assistencia,coifa,quanto custa consertar coifa,decisao consertar x trocar
2,assistencia,coifa,vale a pena consertar coifa,decisao consertar x trocar
2,assistencia,coifa,orçamento conserto coifa,intencao transacional de servico
2,assistencia,transversal,assistência técnica eletrodomésticos são paulo,geolocalizacao: padrao observado
2,assistencia,geladeira,assistência técnica geladeira são paulo,geolocalizacao por categoria
2,assistencia,máquina de lavar,assistência técnica máquina de lavar são paulo,geolocalizacao por categoria
2,assistencia,ar condicionado,assistência técnica ar condicionado são paulo,geolocalizacao por categoria
2,assistencia,fogão,assistência técnica fogão são paulo,geolocalizacao por categoria
2,assistencia,lava e seca,assistência técnica lava e seca são paulo,geolocalizacao por categoria
2,assistencia,micro-ondas,assistência técnica micro-ondas são paulo,geolocalizacao por categoria
2,assistencia,lava louças,assistência técnica lava louças são paulo,geolocalizacao por categoria
2,assistencia,secadora de roupas,assistência técnica secadora de roupas são paulo,geolocalizacao por categoria
2,assistencia,geladeira,conserto de geladeira são paulo,sinonimo geolocalizado
2,assistencia,máquina de lavar,conserto de máquina de lavar são paulo,sinonimo geolocalizado
2,assistencia,ar condicionado,conserto de ar condicionado são paulo,sinonimo geolocalizado
2,assistencia,transversal,assistência técnica eletrodomésticos rio de janeiro,geolocalizacao: padrao observado
2,assistencia,geladeira,assistência técnica geladeira rio de janeiro,geolocalizacao por categoria
2,assistencia,máquina de lavar,assistência técnica máquina de lavar rio de janeiro,geolocalizacao por categoria
2,assistencia,ar condicionado,assistência técnica ar condicionado rio de janeiro,geolocalizacao por categoria
2,assistencia,fogão,assistência técnica fogão rio de janeiro,geolocalizacao por categoria
2,assistencia,lava e seca,assistência técnica lava e seca rio de janeiro,geolocalizacao por categoria
2,assistencia,micro-ondas,assistência técnica micro-ondas rio de janeiro,geolocalizacao por categoria
2,assistencia,lava louças,assistência técnica lava louças rio de janeiro,geolocalizacao por categoria
2,assistencia,secadora de roupas,assistência técnica secadora de roupas rio de janeiro,geolocalizacao por categoria
2,assistencia,geladeira,conserto de geladeira rio de janeiro,sinonimo geolocalizado
2,assistencia,máquina de lavar,conserto de máquina de lavar rio de janeiro,sinonimo geolocalizado
2,assistencia,ar condicionado,conserto de ar condicionado rio de janeiro,sinonimo geolocalizado
2,assistencia,transversal,assistência técnica eletrodomésticos belo horizonte,geolocalizacao: padrao observado
2,assistencia,geladeira,assistência técnica geladeira belo horizonte,geolocalizacao por categoria
2,assistencia,máquina de lavar,assistência técnica máquina de lavar belo horizonte,geolocalizacao por categoria
2,assistencia,ar condicionado,assistência técnica ar condicionado belo horizonte,geolocalizacao por categoria
2,assistencia,fogão,assistência técnica fogão belo horizonte,geolocalizacao por categoria
2,assistencia,lava e seca,assistência técnica lava e seca belo horizonte,geolocalizacao por categoria
2,assistencia,micro-ondas,assistência técnica micro-ondas belo horizonte,geolocalizacao por categoria
2,assistencia,lava louças,assistência técnica lava louças belo horizonte,geolocalizacao por categoria
2,assistencia,secadora de roupas,assistência técnica secadora de roupas belo horizonte,geolocalizacao por categoria
2,assistencia,geladeira,conserto de geladeira belo horizonte,sinonimo geolocalizado
2,assistencia,máquina de lavar,conserto de máquina de lavar belo horizonte,sinonimo geolocalizado
2,assistencia,ar condicionado,conserto de ar condicionado belo horizonte,sinonimo geolocalizado
